substance,bucket,bucket_source,possible_pairs,pair_rows,pair_coverage_pct,knox_rows,knox_pct_within_substance,high_risk_labels
alcohol,common,preset,44,41,93.18,0,0.0,2
amphetamine_stims,common,estimated,44,41,93.18,0,0.0,2
antihypertensives,common,estimated,44,41,93.18,0,0.0,1
antipsychotics,common,estimated,44,41,93.18,0,0.0,1
atypical_ad,common,estimated,44,41,93.18,0,0.0,0
ayahuasca,high_risk,preset,44,41,93.18,0,0.0,33
belladonna,rare,estimated,44,41,93.18,0,0.0,7
benzodiazepines,common,estimated,44,41,93.18,0,0.0,0
beta_blockers,common,estimated,44,38,86.36,0,0.0,1
beta_blockers_ccb,common,estimated,44,37,84.09,0,0.0,2
brugmansia,rare,preset,44,41,93.18,0,0.0,7
calcium_channel_blockers,common,estimated,44,38,86.36,0,0.0,1
cannabis,common,preset,44,41,93.18,0,0.0,3
clonidine,common,estimated,44,38,86.36,0,0.0,1
clonidine_guanfacine,common,estimated,44,37,84.09,0,0.0,2
cocaine,high_risk,estimated,44,41,93.18,0,0.0,1
dox,rare,estimated,44,41,93.18,0,0.0,1
five_meo_dmt,high_risk,preset,44,41,93.18,0,0.0,5
ghb_gamma_hydroxybutyrate,high_risk,estimated,44,0,0.0,0,0.0,0
guanfacine,common,estimated,44,38,86.36,0,0.0,1
iboga,rare,estimated,44,41,93.18,0,0.0,0
kambo,rare,preset,44,41,93.18,0,0.0,1
ketamine,common,estimated,44,41,93.18,0,0.0,2
lamotrigine,common,estimated,44,41,93.18,0,0.0,0
lithium,high_risk,preset,44,41,93.18,0,0.0,7
lsd,common,preset,44,41,93.18,0,0.0,9
maoi_pharma,high_risk,preset,44,41,93.18,0,0.0,2
mdma,common,preset,44,41,93.18,0,0.0,2
mdma_2cx_dox_nbome,high_risk,estimated,44,0,0.0,0,0.0,0
mephedrone,rare,estimated,44,0,0.0,0,0.0,0
mescaline_peyote,rare,estimated,44,41,93.18,0,0.0,6
methylphenidate,common,estimated,44,41,93.18,0,0.0,2
nbome_series,high_risk,estimated,44,41,93.18,0,0.0,1
ndri_bupropion,common,estimated,44,41,93.18,0,0.0,2
nn_dmt,rare,estimated,44,41,93.18,0,0.0,5
psilocybin,common,preset,44,41,93.18,0,0.0,13
salvia,rare,estimated,44,41,93.18,0,0.0,7
serotonergic_opioids,high_risk,preset,44,41,93.18,0,0.0,4
snri,common,estimated,44,41,93.18,0,0.0,1
ssri,common,estimated,44,41,93.18,0,0.0,1
tobacco_rape,rare,preset,44,41,93.18,0,0.0,0
tricyclic_ad,common,estimated,44,41,93.18,0,0.0,2
two_c_x,rare,estimated,44,41,93.18,0,0.0,1
yopo,rare,preset,44,41,93.18,0,0.0,5
