"substance","bucket","bucket_source","possible_pairs","pair_rows","pair_coverage_pct","knox_rows","knox_pct_within_substance","high_risk_labels"
"alcohol","common","preset",43,41,95.34,33,80.48,0
"amphetamine_stims","common","estimated",43,42,97.67,36,85.71,0
"antihypertensives","common","estimated",43,41,95.34,31,75.6,0
"antipsychotics","common","estimated",43,42,97.67,37,88.09,0
"atypical_ad","common","estimated",43,42,97.67,36,85.71,0
"benzodiazepines","common","estimated",43,41,95.34,33,80.48,0
"beta_blockers","common","estimated",43,40,93.02,32,80,0
"beta_blockers_ccb","common","estimated",43,41,95.34,31,75.6,0
"calcium_channel_blockers","common","estimated",43,40,93.02,30,75,0
"cannabis","common","preset",43,42,97.67,36,85.71,0
"clonidine","common","estimated",43,41,95.34,36,87.8,0
"clonidine_guanfacine","common","estimated",43,36,83.72,0,0,2
"guanfacine","common","estimated",43,41,95.34,36,87.8,0
"ketamine","common","estimated",43,42,97.67,36,85.71,0
"lamotrigine","common","estimated",43,42,97.67,36,85.71,0
"lsd","common","preset",43,42,97.67,37,88.09,1
"mdma","common","preset",43,42,97.67,36,85.71,0
"methylphenidate","common","estimated",43,42,97.67,35,83.33,0
"ndri_bupropion","common","estimated",43,41,95.34,35,85.36,0
"psilocybin","common","preset",43,41,95.34,28,68.29,1
"snri","common","estimated",43,42,97.67,37,88.09,0
"ssri","common","estimated",43,42,97.67,36,85.71,0
"tricyclic_ad","common","estimated",43,42,97.67,37,88.09,0
"ayahuasca","high_risk","preset",43,42,97.67,35,83.33,5
"cocaine","high_risk","estimated",43,41,95.34,31,75.6,0
"five_meo_dmt","high_risk","preset",43,42,97.67,35,83.33,0
"ghb_gamma_hydroxybutyrate","high_risk","estimated",43,28,65.11,28,100,0
"lithium","high_risk","preset",43,42,97.67,35,83.33,1
"maoi_pharma","high_risk","preset",43,42,97.67,36,85.71,0
"nbome_series","high_risk","estimated",43,40,93.02,0,0,1
"serotonergic_opioids","high_risk","preset",43,42,97.67,36,85.71,1
"belladonna","rare","estimated",43,41,95.34,29,70.73,4
"brugmansia","rare","preset",43,42,97.67,34,80.95,1
"dox","rare","estimated",43,42,97.67,36,85.71,0
"kambo","rare","preset",43,40,93.02,0,0,1
"mephedrone","rare","estimated",43,29,67.44,29,100,0
"mescaline_peyote","rare","estimated",43,40,93.02,0,0,6
"nn_dmt","rare","estimated",43,42,97.67,30,71.42,1
"salvia","rare","estimated",43,41,95.34,28,68.29,1
"tobacco_rape","rare","preset",43,41,95.34,25,60.97,0
"two_c_x","rare","estimated",43,40,93.02,7,17.5,1
"yopo","rare","preset",43,41,95.34,30,73.17,1
