source_id,previous_source_id,source_title,authors,year,doi,url,source_file,local_path
gillman_2023,gillman_2023_maoi_clinically_relevant_interactions,Monoamine oxidase inhibitors and clinically relevant drug interactions,P. K. Gillman et al.,2023,10.3928/00485713-20230713-02,,gillman_2023-deduplicate-entheogen-updates-dataset.json,data/sources/gillman_2023/gillman_2023-deduplicate-entheogen-updates-dataset.json
halman_2024,halman_psychedelic_ddi_2024,Drug-drug interactions involving classic psychedelics: A systematic review,A. Halman; G. Kong; J. Sarris; D. Perkins,2024,10.1177/02698811231211219,,Halman-et-al-2023-Drug-drug-interactions-involving-classic-psychedelics-a-systematic-review.pdf,data/sources/halman_2024/halman-2023-training-data.json
malcolm_2023,malcolm_ayahuasca_drug_interaction_2023,"Ayahuasca and Drug Interaction: The Good, the Bad, and the Soul",B. Malcolm,2023,,https://www.pharmacy.uconn.edu/wp-content/uploads/sites/2740/2022/01/HO-2-slides-per-page-Ayahuosca-1.pdf,Malcolm-2023-Ayahuasca-and-Drug-Interaction.pdf,data/sources/malcolm_2023/malcolm-2023-deduplicate-entheogen-updates-dataset.csv
ruffell_2020,ruffell_ayahuasca_interactions_2020,The pharmacological interaction of compounds in ayahuasca: a systematic review,S. Ruffell; N. Netzband; C. Bird; A. H. Young; M. F. Juruena,2020,,https://www.scielo.br/j/rbp/a/s6rDBPvF99z7JccZf3gHNdz/?lang=en,Ruffell-et-al-2020-The Pharmacological-interaction-of-compounds-in-ayahuasca-a-systemic-review.pdf,data/sources/ruffell_2020/ruffell-2020-filtered-qa-dataset.csv
ruffell_2023,ruffell_ayahuasca_review_2023,"Ayahuasca: A review of historical, pharmacological, and therapeutic aspects",S. G. D. Ruffell et al.,2023,10.1002/pcn5.146,,Ruffell-2023-Ayahuasca_ A review of historical.pdf,data/sources/ruffell_2023/ruffell-2023-deduplicate-entheogen-updates-dataset.json
schmid_2015_a,schmid_2015,"Interactions between bupropion and 3,4-methylenedioxymethamphetamine in healthy subjects",Y. Schmid; A. Rickli; A. Schaffner; U. Duthaler; U. Grouzmann; C. M. Hysek; M. E. Liechti,2015,,https://psycnet.apa.org/record/2015-18021-003,"Schmid-et-al-2015-Interactions between bupropion and 3, 4-methylenedioxymethamphetamine.pdf",data/sources/schmid_2015_a/schmidt-2015-entheogen-updates-qa-data.json
schmid_2015_b,,Effects of methylphenidate and MDMA on appraisal of erotic stimuli and intimate relationships,Y. Schmid; C. M. Hysek; K. H. Preller; O. G. Bosch; A. C. Bilderbeck; R. D. Rogers; B. B. Quednow; M. E. Liechti,2015,10.1016/j.euroneuro.2014.11.020,,schmid_2015_b-deduplicate-entheogen-updates-dataset.json,data/sources/schmid_2015_b/schmid_2015_b-deduplicate-entheogen-updates-dataset.json
schmid_2014,,Differential effects of MDMA and methylphenidate on social cognition,Y. Schmid; C. M. Hysek; L. D. Simmler; M. J. Crockett; B. B. Quednow; M. E. Liechti,2014,10.1177/0269881114542454,,schmid_2014-deduplicate-entheogen-updates-dataset.json,data/sources/schmid_2014/schmid_2014-deduplicate-entheogen-updates-dataset.json
askariyana_2025,,"An overview of psilocybin, LSD, MDMA, and ketamine in revitalizing psychedelic-assisted therapy: Insights, limitations and future directions","Askariyan, K., Joghataei, M. T., Dehghan, S., Nohesara, S., Riahi pour, L., Mohammadi, M. H., & Ahmadirad, N. ",2025,10.1016/j.pnpbp.2025.111461,https://doi.org/10.1016/j.pnpbp.2025.111461,askariyana_2025-deduplicate-entheogen-updates-dataset.json,data/sources/askariyana_2025/askariyana_2025-deduplicate-entheogen-updates-dataset.json
higgins_2021,,Low doses of psilocybin and ketamine enhance motivation and attention in poor performing rats: evidence for an antidepressant property,"Higgins GA, Carroll NK, Brown M, MacMillan C, Silenieks LB, Thevarkunnel S, Izhakova J, Magomedova L, DeLannoy I and Sellers EM",2021,10.3389/fphar.2021.640241,,higgins_2021-deduplicate-entheogen-updates-dataset.json,data/sources/higgins_2021/higgins_2021-deduplicate-entheogen-updates-dataset.json
kadriu_2021,,Ketamine and serotonergic psychedelics: common mechanisms underlying the effects of rapid-acting antidepressants,"Kadriu, B., Greenwald, M., Henter, I. D., Gilbert, J. R., Kraus, C., Park, L. T., & Zarate, C. A. ",2021,10.1093/ijnp/pyaa087,,kadriu_2021-deduplicate-entheogen-updates-dataset.json,data/sources/kadriu_2021/kadriu_2021-deduplicate-entheogen-updates-dataset.json
wojtas_2022,,"Effect of psilocybin and ketamine on brain neurotransmitters, glutamate receptors, DNA and rat behaviour","Wojtas A, Bysiek A, Wawrzczak-Bargiela A, Szych Z, Majcher-Maślanka I, Herian M, Maćkowiak M, Gołembiowska K",2022,10.3390/ijms23126713,,wojtas_2022-deduplicate-entheogen-updates-dataset.json,data/sources/wojtas_2022/wojtas_2022-deduplicate-entheogen-updates-dataset.json
baldo_2018,,Opioid analgesic drugs and serotonin toxicity syndrome_mechanisms animal models and links to clinical effects,"Baldo, B.A.",2018,10.1007/s00204-018-2244-6,,baldo_2018-deduplicate-entheogen-updates-dataset.json,data/sources/baldo_2018/baldo_2018-deduplicate-entheogen-updates-dataset.json
feulner_2023,,Efficacy and Safety of Psychedelics in Treating Anxiety Disorders,"Feulner, L., Sermchaiwong, T., Rodland, N. & Galarneau, D.",2023,10.31486/toj.23.0076,,feulner_2023-deduplicate-entheogen-updates-dataset.json,data/sources/feulner_2023/feulner_2023-deduplicate-entheogen-updates-dataset.json
holze_2024,,"Serotonergic Psychedelics: A Comparative Review of Efficacy, Safety, Pharmacokinetics, and Binding Profile","Holze, F.; Singh, N.; Liechti, M. E.; D'Souza, D. C.",2024,10.1016/j.bpsc.2024.01.007,https://www.sciencedirect.com/science/article/pii/S245190222400020X,holze_2024-deduplicate-entheogen-updates-dataset.json,data/sources/holze_2024/holze_2024-deduplicate-entheogen-updates-dataset.json
kargbo_2025,,Reducing cardiovascular side effects of DMT using beta‑blockers,"Kargbo, R. B. ",2025,,https://doi.org/10.1021/acsmedchemlett.5b00123,kargbo-2025-deduplicate-entheogen-updates-dataset.json,data/sources/kargbo_2025/kargbo-2025-deduplicate-entheogen-updates-dataset.json
ken_2024,,Pharmacokinetic and Pharmacodynamic Drug Interactions: Insights and Clinical Management,"Ken, R.",2026,10.35248/JPR.24.8.214,,ken_2024-deduplicate-entheogen-updates-dataset.json,data/sources/ken_2024/ken_2024-deduplicate-entheogen-updates-dataset.json
liechti_2014,,Effects of MDMA on body temperature in humans,"Liechti, M. E.",2014,10.4161/23328940.2014.955433,,liechti_2014-deduplicate-entheogen-updates-dataset.json,data/sources/liechti_2014/liechti_2014-deduplicate-entheogen-updates-dataset.json
nayak_2021,,Classic Psychedelic Coadministration with Lithium,"Nayak, S.M., Gukasyan, N., Barrett, F.S., Erowid, E., Erowid, F. & Griffiths, R.R.",2021,10.1055/a-1524-2794,,nayak_2021-deduplicate-entheogen-updates-dataset.json,data/sources/nayak_2021/nayak_2021-deduplicate-entheogen-updates-dataset.json
rached_2026,,Safety and efficacy of monoamine oxidase inhibitors in patients who use psychoactive substances,"Rached, G., Campana, A., Fiani, D., Nguyen, C., Van den Eynde, V., Gillman, P.K. & Barnett, B.S.",2026,10.1007/s40263-025-01256-7,,rached_2026-deduplicate-entheogen-updates-dataset.json,data/sources/rached_2026/rached_2026-deduplicate-entheogen-updates-dataset.json
thomas_2024,,Toxicology and Pharmacological Interactions of Classic Psychedelics,"Thomas, K.",2024,10.1007/7854_2024_508,,thomas_2024-deduplicate-entheogen-updates-dataset.json,data/sources/thomas_2024/thomas_2024-deduplicate-entheogen-updates-dataset.json
sarparast_2022,,Drug-drug interactions between psychiatric medications and MDMA or psilocybin,"Sarparast, A., Thomas, K., Malcolm, B. & Stauffer, C.S.",2022,10.1007/s00213-022-06083-y,,sarparast_2022-deduplicate-entheogen-updates-dataset.json,data/sources/sarparast_2022/sarparast_2022-deduplicate-entheogen-updates-dataset.json
shen_2010,,"Effects of monoamine oxidase inhibitor and cytochrome P450 2D6 status on 5-methoxy-N,N-dimethyltryptamine metabolism and pharmacokinetics",H. Shen; C. Wu; X. Jiang; A. Yu,2010,10.1016/j.bcp.2010.02.020,https://www.sciencedirect.com/science/article/pii/S0006295210001620,shen_2010-deduplicate-entheogen-updates-dataset.json,data/sources/shen_2010/shen_2010-deduplicate-entheogen-updates-dataset.json
wsol_2023,,Cardiovascular safety of psychedelic medicine: current status and future directions,"Wsół, A.",2023,10.1007/s43440-023-00539-4,,wsol_2023-deduplicate-entheogen-updates-dataset.json,data/sources/wsol_2023/wsol_2023-deduplicate-entheogen-updates-dataset.json
waters_2021,,Pharmacologic Similarities and Differences Among Hallucinogens,"Waters, K.",2021,10.1002/jcph.1917,https://accp1.onlinelibrary.wiley.com/doi/abs/10.1002/jcph.1917,waters_2021-deduplicate-entheogen-updates-dataset.json,data/sources/waters_2021/waters_2021-deduplicate-entheogen-updates-dataset.json
lindsey_2012,,Drug Interactions between Common Illicit Drugs and Prescription Therapies,W. T. Lindsey; D. Stewart; D. Childress,2012,10.3109/00952990.2011.643997,https://doi.org/10.3109/00952990.2011.643997,lindsey_2012-deduplicate-entheogen-updates-dataset.json,data/sources/lindsey_2012/lindsey_2012-deduplicate-entheogen-updates-dataset.json
cohen_2021,,Concomitant drugs associated with increased mortality for MDMA users reported in a drug safety surveillance database,I. V. Cohen; T. Makunts; R. Abagyan; K. Thomas,2021,10.1038/s41598-021-85389-x,https://doi.org/10.1038/s41598-021-85389-x,cohen_2021-deduplicate-entheogen-updates-dataset.json,data/sources/cohen_2021/cohen_2021-deduplicate-entheogen-updates-dataset.json
