chunk_id,source_id,source_title,row_index,source_file
gillman_2023::chunk::2bd23e15a294,gillman_2023,Monoamine oxidase inhibitors and clinically relevant drug interactions,8,Gillman-2023-Monoamine Oxidase Inhibitors and.pdf
gillman_2023::chunk::32939cf18244,gillman_2023,Monoamine oxidase inhibitors and clinically relevant drug interactions,5,Gillman-2023-Monoamine Oxidase Inhibitors and.pdf
halman_2024::chunk::731a47d4be13,halman_2024,Drug-drug interactions involving classic psychedelics: A systematic review,16,Halman-et-al-2023-Drug-drug-interactions-involving-classic-psychedelics-a-systematic-review.pdf
halman_2024::chunk::ef0d82ee0e5f,halman_2024,Drug-drug interactions involving classic psychedelics: A systematic review,12,Halman-et-al-2023-Drug-drug-interactions-involving-classic-psychedelics-a-systematic-review.pdf
malcolm_2023::chunk::9e04e8283a3c,malcolm_2023,"Ayahuasca and Drug Interaction: The Good, the Bad, and the Soul",9,Malcolm-2023-Ayahuasca-and-Drug-Interaction.pdf
malcolm_2023::chunk::df58960e02e4,malcolm_2023,"Ayahuasca and Drug Interaction: The Good, the Bad, and the Soul",1,Malcolm-2023-Ayahuasca-and-Drug-Interaction.pdf
schmid_2015_a::chunk::e08a2ca5f20e,schmid_2015_a,"Interactions between bupropion and 3,4-methylenedioxymethamphetamine in healthy subjects",20,"Schmid-et-al-2015-Interactions between bupropion and 3, 4-methylenedioxymethamphetamine.pdf"
askariyana_2025::chunk::7e47567079a8,askariyana_2025,"An overview of psilocybin, LSD, MDMA, and ketamine in revitalizing psychedelic-assisted therapy: Insights, limitations and future directions",5,Askariyana-et-al-2025-.pdf
askariyana_2025::chunk::bd1404afe92a,askariyana_2025,"An overview of psilocybin, LSD, MDMA, and ketamine in revitalizing psychedelic-assisted therapy: Insights, limitations and future directions",10,Askariyana-et-al-2025-.pdf
baldo_2018::chunk::02a13efc1b15,baldo_2018,Opioid analgesic drugs and serotonin toxicity syndrome_mechanisms animal models and links to clinical effects,2,Baldo-2018-Opioid analgesic drugs and serotonin toxicity syndrome_mechanisms animal models and links to clinical effects.pdf
baldo_2018::chunk::3b37989af404,baldo_2018,Opioid analgesic drugs and serotonin toxicity syndrome_mechanisms animal models and links to clinical effects,6,Baldo-2018-Opioid analgesic drugs and serotonin toxicity syndrome_mechanisms animal models and links to clinical effects.pdf
barnett_2025::chunk::a43ca74dd7e5,barnett_2025,"Hypertensive Emergency Secondary to Combining Psilocybin Mushrooms, Extended Release Dextroamphetamine-Amphetamine, and Tranylcypromine",7,barnett_2025-Hypertensive Emergency Secondary to Combining Psilocybin Mushrooms  Extended Release Dextroamphetamine-Amphetamine  and Tranylcypromine.pdf
barnett_2025::chunk::188f586ecb88,barnett_2025,"Hypertensive Emergency Secondary to Combining Psilocybin Mushrooms, Extended Release Dextroamphetamine-Amphetamine, and Tranylcypromine",13,barnett_2025-Hypertensive Emergency Secondary to Combining Psilocybin Mushrooms  Extended Release Dextroamphetamine-Amphetamine  and Tranylcypromine.pdf
barnett_2025::chunk::16b697a54fa9,barnett_2025,"Hypertensive Emergency Secondary to Combining Psilocybin Mushrooms, Extended Release Dextroamphetamine-Amphetamine, and Tranylcypromine",15,barnett_2025-Hypertensive Emergency Secondary to Combining Psilocybin Mushrooms  Extended Release Dextroamphetamine-Amphetamine  and Tranylcypromine.pdf
boitor_2025::chunk::d4895561a4f1,boitor_2025,Risk factors for severe opioid-induced respiratory depression in hospitalized adults: A case-control study,2,boitor_2025-Risk factors for severe opioid-induced respiratory depression .pdf
boitor_2025::chunk::90b07cf20767,boitor_2025,Risk factors for severe opioid-induced respiratory depression in hospitalized adults: A case-control study,4,boitor_2025-Risk factors for severe opioid-induced respiratory depression .pdf
boitor_2025::chunk::64ef0dd3d5f2,boitor_2025,Risk factors for severe opioid-induced respiratory depression in hospitalized adults: A case-control study,5,boitor_2025-Risk factors for severe opioid-induced respiratory depression .pdf
boitor_2025::chunk::14107bb3a460,boitor_2025,Risk factors for severe opioid-induced respiratory depression in hospitalized adults: A case-control study,7,boitor_2025-Risk factors for severe opioid-induced respiratory depression .pdf
boitor_2025::chunk::ee4b46ee5750,boitor_2025,Risk factors for severe opioid-induced respiratory depression in hospitalized adults: A case-control study,11,boitor_2025-Risk factors for severe opioid-induced respiratory depression .pdf
boitor_2025::chunk::6478f38b7e84,boitor_2025,Risk factors for severe opioid-induced respiratory depression in hospitalized adults: A case-control study,12,boitor_2025-Risk factors for severe opioid-induced respiratory depression .pdf
boitor_2025::chunk::8183ea9e721a,boitor_2025,Risk factors for severe opioid-induced respiratory depression in hospitalized adults: A case-control study,13,boitor_2025-Risk factors for severe opioid-induced respiratory depression .pdf
cohen_2021::chunk::eb2dc658b629,cohen_2021,Concomitant drugs associated with increased mortality for MDMA users reported in a drug safety surveillance database,5,Cohen-2021-Concomitant drugs associated with i.pdf
cohen_2021::chunk::a207e6f251aa,cohen_2021,Concomitant drugs associated with increased mortality for MDMA users reported in a drug safety surveillance database,16,Cohen-2021-Concomitant drugs associated with i.pdf
feulner_2023::chunk::cdd926901ee5,feulner_2023,Efficacy and Safety of Psychedelics in Treating Anxiety Disorders,4,Feulner-2023-Efficacy and Safety of Psychedelics in Treating Anxiety Disorders.pdf
feulner_2023::chunk::2198432a3976,feulner_2023,Efficacy and Safety of Psychedelics in Treating Anxiety Disorders,10,Feulner-2023-Efficacy and Safety of Psychedelics in Treating Anxiety Disorders.pdf
feulner_2023::chunk::1ba4fc79e75a,feulner_2023,Efficacy and Safety of Psychedelics in Treating Anxiety Disorders,11,Feulner-2023-Efficacy and Safety of Psychedelics in Treating Anxiety Disorders.pdf
hesselink_2018::chunk::c24627622e1b,hesselink_2018,Kambo and its Multitude of Biological Effects: Adverse Events or Pharmacological Effects?,5,Hesselink-2018-kambo-and-its-multitude-of-biological-effects--adverse-events-or-pharmacological-effects-1-mp89yNpba5h1Lnwr.pdf
higgins_2021::chunk::1e9f56919c4e,higgins_2021,Low doses of psilocybin and ketamine enhance motivation and attention in poor performing rats: evidence for an antidepressant property,10,higgins_2021-low-doses-of-psilocybin-and-ketamine-increase-motivation.pdf
holze_2024::chunk::05210acd147c,holze_2024,"Serotonergic Psychedelics: A Comparative Review of Efficacy, Safety, Pharmacokinetics, and Binding Profile",7,Holze-2024-Serotonergic Psychedelics_ A Compar.pdf
holze_2024::chunk::23f1bd48d824,holze_2024,"Serotonergic Psychedelics: A Comparative Review of Efficacy, Safety, Pharmacokinetics, and Binding Profile",10,Holze-2024-Serotonergic Psychedelics_ A Compar.pdf
kadriu_2021::chunk::851cef7ea68a,kadriu_2021,Ketamine and serotonergic psychedelics: common mechanisms underlying the effects of rapid-acting antidepressants,13,Kadriu_2021.pdf
kadriu_2021::chunk::4c437e9a33dc,kadriu_2021,Ketamine and serotonergic psychedelics: common mechanisms underlying the effects of rapid-acting antidepressants,18,Kadriu_2021.pdf
kargbo_2025::chunk::0122ea46f6ef,kargbo_2025,Reducing cardiovascular side effects of DMT using beta‑blockers,3,Kargbo-2025-reducing-cardiovascular-side-effects-of-dmt-using-beta-blockers.pdf
kargbo_2025::chunk::e16488cfb393,kargbo_2025,Reducing cardiovascular side effects of DMT using beta‑blockers,4,Kargbo-2025-reducing-cardiovascular-side-effects-of-dmt-using-beta-blockers.pdf
kargbo_2025::chunk::4e91ecfabf6a,kargbo_2025,Reducing cardiovascular side effects of DMT using beta‑blockers,8,Kargbo-2025-reducing-cardiovascular-side-effects-of-dmt-using-beta-blockers.pdf
kargbo_2025::chunk::49e9d5ec3ef1,kargbo_2025,Reducing cardiovascular side effects of DMT using beta‑blockers,13,Kargbo-2025-reducing-cardiovascular-side-effects-of-dmt-using-beta-blockers.pdf
ken_2024::chunk::a0de931c859f,ken_2024,Pharmacokinetic and Pharmacodynamic Drug Interactions: Insights and Clinical Management,1,Ken-2024-pharmacokinetic-and-pharmacodynamic-drug-interactions-insights-and-clinical-management.pdf
ken_2024::chunk::383a1cc2ede0,ken_2024,Pharmacokinetic and Pharmacodynamic Drug Interactions: Insights and Clinical Management,2,Ken-2024-pharmacokinetic-and-pharmacodynamic-drug-interactions-insights-and-clinical-management.pdf
ken_2024::chunk::0dab3b115bf1,ken_2024,Pharmacokinetic and Pharmacodynamic Drug Interactions: Insights and Clinical Management,3,Ken-2024-pharmacokinetic-and-pharmacodynamic-drug-interactions-insights-and-clinical-management.pdf
ken_2024::chunk::784fb66a5309,ken_2024,Pharmacokinetic and Pharmacodynamic Drug Interactions: Insights and Clinical Management,4,Ken-2024-pharmacokinetic-and-pharmacodynamic-drug-interactions-insights-and-clinical-management.pdf
ken_2024::chunk::53563166a58e,ken_2024,Pharmacokinetic and Pharmacodynamic Drug Interactions: Insights and Clinical Management,5,Ken-2024-pharmacokinetic-and-pharmacodynamic-drug-interactions-insights-and-clinical-management.pdf
ken_2024::chunk::0846c79cca98,ken_2024,Pharmacokinetic and Pharmacodynamic Drug Interactions: Insights and Clinical Management,9,Ken-2024-pharmacokinetic-and-pharmacodynamic-drug-interactions-insights-and-clinical-management.pdf
ken_2024::chunk::0aa049a5bc91,ken_2024,Pharmacokinetic and Pharmacodynamic Drug Interactions: Insights and Clinical Management,10,Ken-2024-pharmacokinetic-and-pharmacodynamic-drug-interactions-insights-and-clinical-management.pdf
ken_2024::chunk::7061d4fcbd9f,ken_2024,Pharmacokinetic and Pharmacodynamic Drug Interactions: Insights and Clinical Management,11,Ken-2024-pharmacokinetic-and-pharmacodynamic-drug-interactions-insights-and-clinical-management.pdf
ken_2024::chunk::33ba7e18f421,ken_2024,Pharmacokinetic and Pharmacodynamic Drug Interactions: Insights and Clinical Management,12,Ken-2024-pharmacokinetic-and-pharmacodynamic-drug-interactions-insights-and-clinical-management.pdf
ken_2024::chunk::9acf14dbdd5f,ken_2024,Pharmacokinetic and Pharmacodynamic Drug Interactions: Insights and Clinical Management,13,Ken-2024-pharmacokinetic-and-pharmacodynamic-drug-interactions-insights-and-clinical-management.pdf
