class_pair,total_pairs,pairs_with_chunks,pairs_without_chunks,zero_pair_keys
Ceremonial Psychedelic | Pharmaceutical Class,162,63,99,antihypertensives|five_meo_dmt;antihypertensives|iboga;antihypertensives|mescaline_peyote;antihypertensives|salvia;antihypertensives|yopo;antipsychotics|iboga;antipsychotics|salvia;antipsychotics|yopo;atypical_ad|five_meo_dmt;atypical_ad|iboga;atypical_ad|mescaline_peyote;atypical_ad|salvia;atypical_ad|yopo;ayahuasca|lamotrigine;ayahuasca|serotonergic_opioids;ayahuasca|snri;ayahuasca|tricyclic_ad;benzodiazepines|five_meo_dmt;benzodiazepines|iboga;benzodiazepines|mescaline_peyote;benzodiazepines|salvia;benzodiazepines|yopo;beta_blockers_ccb|five_meo_dmt;beta_blockers_ccb|iboga;beta_blockers_ccb|mescaline_peyote;beta_blockers_ccb|salvia;beta_blockers_ccb|yopo;beta_blockers|five_meo_dmt;beta_blockers|iboga;beta_blockers|mescaline_peyote;beta_blockers|salvia;beta_blockers|yopo;calcium_channel_blockers|five_meo_dmt;calcium_channel_blockers|iboga;calcium_channel_blockers|mescaline_peyote;calcium_channel_blockers|salvia;calcium_channel_blockers|yopo;clonidine_guanfacine|five_meo_dmt;clonidine_guanfacine|iboga;clonidine_guanfacine|mescaline_peyote;clonidine_guanfacine|salvia;clonidine_guanfacine|yopo;clonidine|five_meo_dmt;clonidine|iboga;clonidine|mescaline_peyote;clonidine|salvia;clonidine|yopo;five_meo_dmt|guanfacine;five_meo_dmt|lamotrigine;five_meo_dmt|serotonergic_opioids;five_meo_dmt|snri;five_meo_dmt|ssri;five_meo_dmt|tricyclic_ad;guanfacine|iboga;guanfacine|mescaline_peyote;guanfacine|salvia;guanfacine|yopo;iboga|lamotrigine;iboga|lithium;iboga|maoi_pharma;iboga|ndri_bupropion;iboga|snri;iboga|ssri;iboga|tricyclic_ad;lamotrigine|lsd;lamotrigine|mescaline_peyote;lamotrigine|nn_dmt;lamotrigine|psilocybin;lamotrigine|salvia;lamotrigine|yopo;lithium|mescaline_peyote;lithium|salvia;lithium|yopo;lsd|ndri_bupropion;lsd|snri;maoi_pharma|mescaline_peyote;maoi_pharma|salvia;maoi_pharma|yopo;mescaline_peyote|ndri_bupropion;mescaline_peyote|serotonergic_opioids;mescaline_peyote|snri;mescaline_peyote|ssri;mescaline_peyote|tricyclic_ad;ndri_bupropion|nn_dmt;ndri_bupropion|psilocybin;ndri_bupropion|salvia;ndri_bupropion|yopo;nn_dmt|serotonergic_opioids;nn_dmt|snri;nn_dmt|tricyclic_ad;psilocybin|tricyclic_ad;salvia|serotonergic_opioids;salvia|snri;salvia|ssri;salvia|tricyclic_ad;serotonergic_opioids|yopo;snri|yopo;ssri|yopo;tricyclic_ad|yopo
Pharmaceutical Class | Pharmaceutical Class,161,73,88,antihypertensives|antihypertensives;antihypertensives|atypical_ad;antihypertensives|benzodiazepines;antihypertensives|beta_blockers;antihypertensives|beta_blockers_ccb;antihypertensives|calcium_channel_blockers;antihypertensives|clonidine;antihypertensives|clonidine_guanfacine;antihypertensives|guanfacine;antihypertensives|lamotrigine;antihypertensives|serotonergic_opioids;antihypertensives|snri;antihypertensives|ssri;antihypertensives|tricyclic_ad;atypical_ad|atypical_ad;atypical_ad|benzodiazepines;atypical_ad|beta_blockers;atypical_ad|beta_blockers_ccb;atypical_ad|calcium_channel_blockers;atypical_ad|clonidine;atypical_ad|clonidine_guanfacine;atypical_ad|guanfacine;atypical_ad|lamotrigine;benzodiazepines|benzodiazepines;benzodiazepines|beta_blockers;benzodiazepines|beta_blockers_ccb;benzodiazepines|calcium_channel_blockers;benzodiazepines|clonidine;benzodiazepines|clonidine_guanfacine;benzodiazepines|guanfacine;benzodiazepines|tricyclic_ad;beta_blockers_ccb|beta_blockers_ccb;beta_blockers_ccb|clonidine_guanfacine;beta_blockers_ccb|lamotrigine;beta_blockers_ccb|serotonergic_opioids;beta_blockers_ccb|snri;beta_blockers_ccb|ssri;beta_blockers_ccb|tricyclic_ad;beta_blockers|beta_blockers;beta_blockers|clonidine;beta_blockers|guanfacine;beta_blockers|lamotrigine;beta_blockers|snri;beta_blockers|ssri;beta_blockers|tricyclic_ad;calcium_channel_blockers|calcium_channel_blockers;calcium_channel_blockers|clonidine;calcium_channel_blockers|guanfacine;calcium_channel_blockers|lamotrigine;calcium_channel_blockers|serotonergic_opioids;calcium_channel_blockers|snri;calcium_channel_blockers|ssri;calcium_channel_blockers|tricyclic_ad;clonidine_guanfacine|clonidine_guanfacine;clonidine_guanfacine|lamotrigine;clonidine_guanfacine|serotonergic_opioids;clonidine_guanfacine|snri;clonidine_guanfacine|ssri;clonidine_guanfacine|tricyclic_ad;clonidine|clonidine;clonidine|lamotrigine;clonidine|serotonergic_opioids;clonidine|snri;clonidine|ssri;clonidine|tricyclic_ad;guanfacine|guanfacine;guanfacine|lamotrigine;guanfacine|serotonergic_opioids;guanfacine|snri;guanfacine|ssri;guanfacine|tricyclic_ad;lamotrigine|lamotrigine;lamotrigine|ndri_bupropion;lamotrigine|serotonergic_opioids;lamotrigine|snri;lamotrigine|ssri;lamotrigine|tricyclic_ad;lithium|lithium;lithium|ndri_bupropion;lithium|tricyclic_ad;maoi_pharma|maoi_pharma;maoi_pharma|ndri_bupropion;ndri_bupropion|ndri_bupropion;ndri_bupropion|tricyclic_ad;serotonergic_opioids|serotonergic_opioids;snri|snri;ssri|ssri;tricyclic_ad|tricyclic_ad
Pharmaceutical Class | Recreational Serotonergic,72,20,52,antihypertensives|dox;antihypertensives|nbome_series;antihypertensives|two_c_x;antipsychotics|nbome_series;antipsychotics|two_c_x;atypical_ad|dox;atypical_ad|nbome_series;atypical_ad|two_c_x;benzodiazepines|dox;benzodiazepines|nbome_series;benzodiazepines|two_c_x;beta_blockers_ccb|dox;beta_blockers_ccb|nbome_series;beta_blockers_ccb|two_c_x;beta_blockers|dox;beta_blockers|nbome_series;beta_blockers|two_c_x;calcium_channel_blockers|dox;calcium_channel_blockers|mdma;calcium_channel_blockers|nbome_series;calcium_channel_blockers|two_c_x;clonidine_guanfacine|dox;clonidine_guanfacine|nbome_series;clonidine_guanfacine|two_c_x;clonidine|dox;clonidine|mdma;clonidine|nbome_series;clonidine|two_c_x;dox|guanfacine;dox|lamotrigine;dox|serotonergic_opioids;dox|snri;dox|ssri;dox|tricyclic_ad;guanfacine|mdma;guanfacine|nbome_series;guanfacine|two_c_x;lamotrigine|nbome_series;lamotrigine|two_c_x;lithium|nbome_series;lithium|two_c_x;maoi_pharma|nbome_series;nbome_series|ndri_bupropion;nbome_series|serotonergic_opioids;nbome_series|snri;nbome_series|ssri;nbome_series|tricyclic_ad;ndri_bupropion|two_c_x;serotonergic_opioids|two_c_x;snri|two_c_x;ssri|two_c_x;tricyclic_ad|two_c_x
Ceremonial Psychedelic | Ceremonial Psychedelic,45,16,29,ayahuasca|iboga;ayahuasca|salvia;ayahuasca|yopo;five_meo_dmt|five_meo_dmt;five_meo_dmt|iboga;five_meo_dmt|salvia;five_meo_dmt|yopo;iboga|iboga;iboga|lsd;iboga|mescaline_peyote;iboga|nn_dmt;iboga|psilocybin;iboga|salvia;iboga|yopo;lsd|lsd;lsd|salvia;lsd|yopo;mescaline_peyote|mescaline_peyote;mescaline_peyote|salvia;mescaline_peyote|yopo;nn_dmt|nn_dmt;nn_dmt|salvia;nn_dmt|yopo;psilocybin|psilocybin;psilocybin|salvia;psilocybin|yopo;salvia|salvia;salvia|yopo;yopo|yopo
Deliriant | Pharmaceutical Class,36,8,28,antihypertensives|belladonna;antihypertensives|brugmansia;atypical_ad|belladonna;atypical_ad|brugmansia;belladonna|benzodiazepines;belladonna|beta_blockers;belladonna|beta_blockers_ccb;belladonna|calcium_channel_blockers;belladonna|clonidine;belladonna|clonidine_guanfacine;belladonna|guanfacine;belladonna|lamotrigine;belladonna|serotonergic_opioids;belladonna|snri;belladonna|ssri;belladonna|tricyclic_ad;benzodiazepines|brugmansia;beta_blockers_ccb|brugmansia;beta_blockers|brugmansia;brugmansia|calcium_channel_blockers;brugmansia|clonidine;brugmansia|clonidine_guanfacine;brugmansia|guanfacine;brugmansia|lamotrigine;brugmansia|serotonergic_opioids;brugmansia|snri;brugmansia|ssri;brugmansia|tricyclic_ad
Ceremonial Adjunct | Pharmaceutical Class,36,16,20,antihypertensives|kambo;atypical_ad|kambo;benzodiazepines|kambo;beta_blockers_ccb|kambo;beta_blockers|kambo;calcium_channel_blockers|kambo;clonidine_guanfacine|kambo;clonidine|kambo;guanfacine|kambo;kambo|lamotrigine;kambo|serotonergic_opioids;kambo|snri;kambo|ssri;kambo|tricyclic_ad;lamotrigine|tobacco_rape;lithium|tobacco_rape;ndri_bupropion|tobacco_rape;snri|tobacco_rape;ssri|tobacco_rape;tobacco_rape|tricyclic_ad
Pharmaceutical | Pharmaceutical Class,18,1,17,antihypertensives|methylphenidate;antipsychotics|methylphenidate;atypical_ad|methylphenidate;benzodiazepines|methylphenidate;beta_blockers_ccb|methylphenidate;beta_blockers|methylphenidate;calcium_channel_blockers|methylphenidate;clonidine_guanfacine|methylphenidate;clonidine|methylphenidate;guanfacine|methylphenidate;lamotrigine|methylphenidate;lithium|methylphenidate;maoi_pharma|methylphenidate;methylphenidate|serotonergic_opioids;methylphenidate|snri;methylphenidate|ssri;methylphenidate|tricyclic_ad
Ceremonial Psychedelic | Recreational Serotonergic,36,23,13,ayahuasca|nbome_series;ayahuasca|two_c_x;dox|iboga;dox|salvia;dox|yopo;iboga|mdma;iboga|nbome_series;iboga|two_c_x;mdma|yopo;nbome_series|salvia;nbome_series|yopo;salvia|two_c_x;two_c_x|yopo
Ceremonial Adjunct | Ceremonial Psychedelic,18,7,11,five_meo_dmt|kambo;iboga|kambo;kambo|mescaline_peyote;kambo|salvia;kambo|yopo;lsd|tobacco_rape;mescaline_peyote|tobacco_rape;nn_dmt|tobacco_rape;psilocybin|tobacco_rape;salvia|tobacco_rape;tobacco_rape|yopo
Ceremonial Psychedelic | Deliriant,18,8,10,belladonna|five_meo_dmt;belladonna|iboga;belladonna|mescaline_peyote;belladonna|salvia;belladonna|yopo;brugmansia|five_meo_dmt;brugmansia|iboga;brugmansia|mescaline_peyote;brugmansia|salvia;brugmansia|yopo
