substance_id,substance_name,substance_class,deprecated,total_interaction_pairs,pairs_with_chunks,pairs_without_chunks,zero_pair_keys
yopo,Yopo,Ceremonial Psychedelic,false,41,0,41,alcohol|yopo;amphetamine_stims|yopo;antihypertensives|yopo;antipsychotics|yopo;atypical_ad|yopo;ayahuasca|yopo;belladonna|yopo;benzodiazepines|yopo;beta_blockers_ccb|yopo;beta_blockers|yopo;brugmansia|yopo;calcium_channel_blockers|yopo;cannabis|yopo;clonidine_guanfacine|yopo;clonidine|yopo;cocaine|yopo;dox|yopo;five_meo_dmt|yopo;guanfacine|yopo;iboga|yopo;kambo|yopo;ketamine|yopo;lamotrigine|yopo;lithium|yopo;lsd|yopo;maoi_pharma|yopo;mdma|yopo;mescaline_peyote|yopo;methylphenidate|yopo;nbome_series|yopo;ndri_bupropion|yopo;nn_dmt|yopo;psilocybin|yopo;salvia|yopo;serotonergic_opioids|yopo;snri|yopo;ssri|yopo;tobacco_rape|yopo;tricyclic_ad|yopo;two_c_x|yopo;yopo|yopo
salvia,Salvia divinorum,Ceremonial Psychedelic,false,41,2,39,alcohol|salvia;amphetamine_stims|salvia;antihypertensives|salvia;antipsychotics|salvia;atypical_ad|salvia;ayahuasca|salvia;belladonna|salvia;benzodiazepines|salvia;beta_blockers_ccb|salvia;beta_blockers|salvia;brugmansia|salvia;calcium_channel_blockers|salvia;cannabis|salvia;clonidine_guanfacine|salvia;clonidine|salvia;cocaine|salvia;dox|salvia;five_meo_dmt|salvia;guanfacine|salvia;iboga|salvia;kambo|salvia;lamotrigine|salvia;lithium|salvia;lsd|salvia;maoi_pharma|salvia;mescaline_peyote|salvia;methylphenidate|salvia;nbome_series|salvia;ndri_bupropion|salvia;nn_dmt|salvia;psilocybin|salvia;salvia|salvia;salvia|serotonergic_opioids;salvia|snri;salvia|ssri;salvia|tobacco_rape;salvia|tricyclic_ad;salvia|two_c_x;salvia|yopo
methylphenidate,Methylphenidate,Pharmaceutical,false,41,3,38,alcohol|methylphenidate;antihypertensives|methylphenidate;antipsychotics|methylphenidate;atypical_ad|methylphenidate;ayahuasca|methylphenidate;belladonna|methylphenidate;benzodiazepines|methylphenidate;beta_blockers_ccb|methylphenidate;beta_blockers|methylphenidate;brugmansia|methylphenidate;calcium_channel_blockers|methylphenidate;cannabis|methylphenidate;clonidine_guanfacine|methylphenidate;clonidine|methylphenidate;cocaine|methylphenidate;dox|methylphenidate;five_meo_dmt|methylphenidate;guanfacine|methylphenidate;iboga|methylphenidate;kambo|methylphenidate;ketamine|methylphenidate;lamotrigine|methylphenidate;lithium|methylphenidate;lsd|methylphenidate;maoi_pharma|methylphenidate;mescaline_peyote|methylphenidate;methylphenidate|methylphenidate;methylphenidate|nbome_series;methylphenidate|nn_dmt;methylphenidate|psilocybin;methylphenidate|salvia;methylphenidate|serotonergic_opioids;methylphenidate|snri;methylphenidate|ssri;methylphenidate|tobacco_rape;methylphenidate|tricyclic_ad;methylphenidate|two_c_x;methylphenidate|yopo
iboga,Iboga / Ibogaine,Ceremonial Psychedelic,false,41,4,37,amphetamine_stims|iboga;antihypertensives|iboga;antipsychotics|iboga;atypical_ad|iboga;ayahuasca|iboga;belladonna|iboga;benzodiazepines|iboga;beta_blockers_ccb|iboga;beta_blockers|iboga;brugmansia|iboga;calcium_channel_blockers|iboga;cannabis|iboga;clonidine_guanfacine|iboga;clonidine|iboga;dox|iboga;five_meo_dmt|iboga;guanfacine|iboga;iboga|iboga;iboga|kambo;iboga|ketamine;iboga|lamotrigine;iboga|lithium;iboga|lsd;iboga|maoi_pharma;iboga|mdma;iboga|mescaline_peyote;iboga|methylphenidate;iboga|nbome_series;iboga|ndri_bupropion;iboga|nn_dmt;iboga|psilocybin;iboga|salvia;iboga|snri;iboga|ssri;iboga|tricyclic_ad;iboga|two_c_x;iboga|yopo
lamotrigine,Lamotrigine,Pharmaceutical Class,false,41,6,35,alcohol|lamotrigine;amphetamine_stims|lamotrigine;antihypertensives|lamotrigine;atypical_ad|lamotrigine;ayahuasca|lamotrigine;belladonna|lamotrigine;beta_blockers_ccb|lamotrigine;beta_blockers|lamotrigine;brugmansia|lamotrigine;calcium_channel_blockers|lamotrigine;cannabis|lamotrigine;clonidine_guanfacine|lamotrigine;clonidine|lamotrigine;cocaine|lamotrigine;dox|lamotrigine;five_meo_dmt|lamotrigine;guanfacine|lamotrigine;iboga|lamotrigine;kambo|lamotrigine;lamotrigine|lamotrigine;lamotrigine|lsd;lamotrigine|mescaline_peyote;lamotrigine|methylphenidate;lamotrigine|nbome_series;lamotrigine|ndri_bupropion;lamotrigine|nn_dmt;lamotrigine|psilocybin;lamotrigine|salvia;lamotrigine|serotonergic_opioids;lamotrigine|snri;lamotrigine|ssri;lamotrigine|tobacco_rape;lamotrigine|tricyclic_ad;lamotrigine|two_c_x;lamotrigine|yopo
nbome_series,NBOMe Series,Recreational Serotonergic,false,41,7,34,alcohol|nbome_series;amphetamine_stims|nbome_series;antihypertensives|nbome_series;antipsychotics|nbome_series;atypical_ad|nbome_series;ayahuasca|nbome_series;belladonna|nbome_series;benzodiazepines|nbome_series;beta_blockers_ccb|nbome_series;beta_blockers|nbome_series;brugmansia|nbome_series;calcium_channel_blockers|nbome_series;cannabis|nbome_series;clonidine_guanfacine|nbome_series;clonidine|nbome_series;cocaine|nbome_series;guanfacine|nbome_series;iboga|nbome_series;kambo|nbome_series;ketamine|nbome_series;lamotrigine|nbome_series;lithium|nbome_series;maoi_pharma|nbome_series;mdma|nbome_series;methylphenidate|nbome_series;nbome_series|nbome_series;nbome_series|ndri_bupropion;nbome_series|salvia;nbome_series|serotonergic_opioids;nbome_series|snri;nbome_series|ssri;nbome_series|tobacco_rape;nbome_series|tricyclic_ad;nbome_series|yopo
two_c_x,2C-x,Recreational Serotonergic,false,41,8,33,alcohol|two_c_x;amphetamine_stims|two_c_x;antihypertensives|two_c_x;antipsychotics|two_c_x;atypical_ad|two_c_x;ayahuasca|two_c_x;belladonna|two_c_x;benzodiazepines|two_c_x;beta_blockers_ccb|two_c_x;beta_blockers|two_c_x;brugmansia|two_c_x;calcium_channel_blockers|two_c_x;cannabis|two_c_x;clonidine_guanfacine|two_c_x;clonidine|two_c_x;cocaine|two_c_x;guanfacine|two_c_x;iboga|two_c_x;kambo|two_c_x;ketamine|two_c_x;lamotrigine|two_c_x;lithium|two_c_x;mdma|two_c_x;methylphenidate|two_c_x;ndri_bupropion|two_c_x;salvia|two_c_x;serotonergic_opioids|two_c_x;snri|two_c_x;ssri|two_c_x;tobacco_rape|two_c_x;tricyclic_ad|two_c_x;two_c_x|two_c_x;two_c_x|yopo
antihypertensives,Antihypertensives,Pharmaceutical Class,false,41,10,31,alcohol|antihypertensives;amphetamine_stims|antihypertensives;antihypertensives|antihypertensives;antihypertensives|atypical_ad;antihypertensives|belladonna;antihypertensives|benzodiazepines;antihypertensives|beta_blockers;antihypertensives|beta_blockers_ccb;antihypertensives|brugmansia;antihypertensives|calcium_channel_blockers;antihypertensives|cannabis;antihypertensives|clonidine;antihypertensives|clonidine_guanfacine;antihypertensives|cocaine;antihypertensives|dox;antihypertensives|five_meo_dmt;antihypertensives|guanfacine;antihypertensives|iboga;antihypertensives|kambo;antihypertensives|ketamine;antihypertensives|lamotrigine;antihypertensives|mescaline_peyote;antihypertensives|methylphenidate;antihypertensives|nbome_series;antihypertensives|salvia;antihypertensives|serotonergic_opioids;antihypertensives|snri;antihypertensives|ssri;antihypertensives|tricyclic_ad;antihypertensives|two_c_x;antihypertensives|yopo
belladonna,Belladonna,Deliriant,false,41,10,31,alcohol|belladonna;amphetamine_stims|belladonna;antihypertensives|belladonna;atypical_ad|belladonna;belladonna|belladonna;belladonna|benzodiazepines;belladonna|beta_blockers;belladonna|beta_blockers_ccb;belladonna|brugmansia;belladonna|calcium_channel_blockers;belladonna|cannabis;belladonna|clonidine;belladonna|clonidine_guanfacine;belladonna|cocaine;belladonna|dox;belladonna|five_meo_dmt;belladonna|guanfacine;belladonna|iboga;belladonna|kambo;belladonna|ketamine;belladonna|lamotrigine;belladonna|mescaline_peyote;belladonna|methylphenidate;belladonna|nbome_series;belladonna|salvia;belladonna|serotonergic_opioids;belladonna|snri;belladonna|ssri;belladonna|tricyclic_ad;belladonna|two_c_x;belladonna|yopo
brugmansia,Brugmansia,Deliriant,false,41,10,31,alcohol|brugmansia;amphetamine_stims|brugmansia;antihypertensives|brugmansia;atypical_ad|brugmansia;belladonna|brugmansia;benzodiazepines|brugmansia;beta_blockers_ccb|brugmansia;beta_blockers|brugmansia;brugmansia|brugmansia;brugmansia|calcium_channel_blockers;brugmansia|cannabis;brugmansia|clonidine;brugmansia|clonidine_guanfacine;brugmansia|cocaine;brugmansia|dox;brugmansia|five_meo_dmt;brugmansia|guanfacine;brugmansia|iboga;brugmansia|kambo;brugmansia|ketamine;brugmansia|lamotrigine;brugmansia|mescaline_peyote;brugmansia|methylphenidate;brugmansia|nbome_series;brugmansia|salvia;brugmansia|serotonergic_opioids;brugmansia|snri;brugmansia|ssri;brugmansia|tricyclic_ad;brugmansia|two_c_x;brugmansia|yopo
kambo,Kambo,Ceremonial Adjunct,false,41,10,31,alcohol|kambo;amphetamine_stims|kambo;antihypertensives|kambo;atypical_ad|kambo;belladonna|kambo;benzodiazepines|kambo;beta_blockers_ccb|kambo;beta_blockers|kambo;brugmansia|kambo;calcium_channel_blockers|kambo;cannabis|kambo;clonidine_guanfacine|kambo;clonidine|kambo;cocaine|kambo;dox|kambo;five_meo_dmt|kambo;guanfacine|kambo;iboga|kambo;kambo|kambo;kambo|ketamine;kambo|lamotrigine;kambo|mescaline_peyote;kambo|methylphenidate;kambo|nbome_series;kambo|salvia;kambo|serotonergic_opioids;kambo|snri;kambo|ssri;kambo|tricyclic_ad;kambo|two_c_x;kambo|yopo
mescaline_peyote,Mescaline / Peyote,Ceremonial Psychedelic,false,41,10,31,alcohol|mescaline_peyote;amphetamine_stims|mescaline_peyote;antihypertensives|mescaline_peyote;atypical_ad|mescaline_peyote;belladonna|mescaline_peyote;benzodiazepines|mescaline_peyote;beta_blockers_ccb|mescaline_peyote;beta_blockers|mescaline_peyote;brugmansia|mescaline_peyote;calcium_channel_blockers|mescaline_peyote;cannabis|mescaline_peyote;clonidine_guanfacine|mescaline_peyote;clonidine|mescaline_peyote;cocaine|mescaline_peyote;guanfacine|mescaline_peyote;iboga|mescaline_peyote;kambo|mescaline_peyote;ketamine|mescaline_peyote;lamotrigine|mescaline_peyote;lithium|mescaline_peyote;maoi_pharma|mescaline_peyote;mescaline_peyote|mescaline_peyote;mescaline_peyote|methylphenidate;mescaline_peyote|ndri_bupropion;mescaline_peyote|salvia;mescaline_peyote|serotonergic_opioids;mescaline_peyote|snri;mescaline_peyote|ssri;mescaline_peyote|tobacco_rape;mescaline_peyote|tricyclic_ad;mescaline_peyote|yopo
